行政區,土地面積,建物總面積,屋齡,樓層,總樓層,用途,房數,廳數,衛數,電梯,車位類別,交易日期,經度,緯度,總價
西屯區,39.48,309.06,2.754334449,3,14,住,3,2,3,1,坡道平面,2017/7/17,120.636381,24.178535,2580
北區,8.84,52.73,23.21745142,2,7,住,1,1,1,1,無,2018/7/27,120.67756000000001,24.152515,180
南屯區,24.41,255.48,11.08030966,3,14,住,3,2,3,1,坡道平面,2019/9/24,120.62238400000001,24.150631,1738
西區,18.61,182.47,19.30498231,10,13,住,3,2,2,1,坡道機械,2018/1/21,120.655328,24.136492,1210
北屯區,35.74,160.73,9.818134527,5,12,住,4,2,2,1,坡道機械,2017/7/24,120.66759499999999,24.181198000000002,875
北屯區,20.0,64.97,39.33824788,3,5,住,2,2,1,0,無,2018/7/17,120.69821999999999,24.160951999999998,285
北區,31.6,96.68,31.83090686,3,5,住,3,2,2,0,無,2017/11/28,120.671229,24.156029999999998,495
北區,2.41,33.44,20.82999651,9,14,住,1,1,1,1,無,2017/5/15,120.684582,24.166829999999997,180
南屯區,9.22,81.24,18.71907021,5,14,住,2,2,1,1,無,2017/6/4,120.639626,24.143017999999998,620
西屯區,26.28,185.78,4.616111214,2,9,住,3,2,2,1,升降機械,2016/12/8,120.65513500000002,24.166713,1336
北屯區,26.54,163.14,1.174562106,11,11,住,3,2,2,1,坡道平面,2016/12/10,120.726223,24.166228,810
北區,13.13,100.49,7.48269985,2,12,住,2,2,1,1,坡道機械,2017/2/25,120.675568,24.155367000000002,579
東區,25.03,156.88,0.39152070200000005,11,13,住,3,2,2,1,坡道平面,2019/1/26,120.69893200000001,24.129732999999998,938
北屯區,15.64,117.19,4.391602839,1,12,住,2,2,1,1,坡道機械,2019/7/27,120.726223,24.166228,850
北屯區,32.95,89.57,33.99111549,4,4,住,3,1,2,0,無,2017/6/21,120.698687,24.182503,450
北屯區,19.98,150.83,10.95984175,10,14,住,3,2,2,1,坡道平面,2017/3/29,120.69018600000001,24.175588,1320
北屯區,10.83,141.44,23.89645236,17,17,住,3,2,2,1,坡道平面,2018/10/1,120.70312,24.186776000000002,680
北屯區,21.95,150.84,18.94631649,3,9,住,3,1,2,1,坡道平面,2018/4/10,120.69829399999999,24.169449,700
南屯區,14.23,142.05,15.20359761,5,14,住,3,2,2,1,坡道平面,2019/5/4,120.639626,24.143017999999998,1428
北屯區,21.21,147.36,3.9343723689999996,8,14,住,3,2,2,1,坡道平面,2019/12/4,120.740504,24.161138,840
西區,37.43,259.52,4.85704703,9,14,住,4,2,3,1,坡道平面,2019/10/9,120.67114009999999,24.14121281,1770
南屯區,18.86,138.57,24.148339800000002,16,16,住,4,2,2,1,無,2019/10/10,120.636242,24.152653,750
大里區,17.93,177.82,4.569566795,15,15,商,4,2,2,1,坡道平面,2018/5/12,120.69076399999999,24.109507,1038
南屯區,15.4,126.81,23.26673375,11,13,住,3,2,2,1,坡道機械,2018/5/28,120.634525,24.159464,780
北區,40.36,91.1,39.66405881,3,5,住,3,2,2,0,無,2018/10/24,120.678028,24.163848,368
西屯區,16.89,151.42,23.92930724,15,15,住,3,2,2,1,坡道平面,2019/3/25,120.63491,24.176417999999998,900
大里區,15.63,110.49,18.35492857,4,9,商,3,2,1,1,坡道平面,2017/2/13,120.68218700000001,24.102625,560
北屯區,21.14,201.52,0.9911223370000001,3,15,商,4,2,2,1,坡道機械,2017/2/14,120.686004,24.195103,1100
西屯區,19.25,97.32,21.47888047,3,6,住,3,1,2,1,無,2018/5/2,120.61718700000002,24.17865,450
北區,4.17,26.02,24.98066353,5,6,住,1,0,1,1,無,2019/7/16,120.671986,24.165337,93
西屯區,36.57,176.0,14.22890272,4,14,住,3,2,2,1,坡道平面,2019/9/26,120.64611699999999,24.184737,855
